date,weekday,is_gotobi,price_pre,price_fix,price_post,run_up_pips,reversal_pips
2026-03-09,月,False,158.398,158.656,158.658,25.8,0.2
2026-03-10,火,True,157.874,157.674,157.733,-20.0,5.9
2026-03-11,水,False,158.101,158.19,158.259,8.9,6.9
2026-03-12,木,False,159.084,159.019,158.831,-6.5,-18.8
2026-03-13,金,True,159.24,159.172,159.086,-6.8,-8.6
2026-03-16,月,False,159.556,159.388,159.415,-16.8,2.7
2026-03-17,火,False,159.132,159.306,159.425,17.4,11.9
2026-03-18,水,False,158.908,159.105,159.059,19.7,-4.6
2026-03-19,木,False,159.811,159.788,159.675,-2.3,-11.3
2026-03-20,金,True,157.928,157.891,157.858,-3.7,-3.3
2026-03-23,月,False,159.144,159.469,159.414,32.5,-5.5
2026-03-24,火,False,158.48,158.447,158.536,-3.3,8.9
2026-03-25,水,True,158.702,158.607,158.694,-9.5,8.7
2026-03-26,木,False,159.386,159.449,159.437,6.3,-1.2
2026-03-27,金,False,159.721,159.531,159.568,-19.0,3.7
2026-03-30,月,False,160.236,159.956,159.923,-28.0,-3.3
2026-03-31,火,True,159.842,159.821,159.775,-2.1,-4.6
2026-04-01,水,False,158.583,158.815,158.745,23.2,-7.0
2026-04-02,木,False,158.713,158.645,159.069,-6.8,42.4
2026-04-03,金,True,159.494,159.61,159.615,11.6,0.5
2026-04-06,月,False,159.779,159.719,159.651,-6.0,-6.8
2026-04-07,火,False,159.692,159.798,159.797,10.6,-0.1
2026-04-08,水,False,158.716,158.625,158.428,-9.1,-19.7
2026-04-09,木,False,158.649,158.837,158.902,18.8,6.5
2026-04-10,金,True,159.093,159.209,159.139,11.6,-7.0
2026-04-13,月,False,159.678,159.827,159.742,14.9,-8.5
2026-04-14,火,False,159.219,159.186,159.084,-3.3,-10.2
2026-04-15,水,True,158.8,158.858,158.887,5.8,2.9
2026-04-16,木,False,158.814,158.74,158.75,-7.4,1.0
2026-04-17,金,False,159.203,159.337,159.324,13.4,-1.3
2026-04-20,月,True,159.154,158.957,159.005,-19.7,4.8
2026-04-21,火,False,158.848,158.955,158.928,10.7,-2.7
2026-04-22,水,False,159.378,159.208,159.299,-17.0,9.1
2026-04-23,木,False,159.487,159.309,159.4,-17.8,9.1
2026-04-24,金,True,159.749,159.76,159.787,1.1,2.7
2026-04-27,月,False,159.581,159.498,159.376,-8.3,-12.2
2026-04-28,火,False,159.365,159.469,159.483,10.4,1.4
2026-04-29,水,False,159.557,159.532,159.63,-2.5,9.8
2026-04-30,木,True,160.199,160.257,160.24,5.8,-1.7
2026-05-01,金,False,156.987,157.044,157.191,5.7,14.7
2026-05-04,月,False,156.901,156.917,156.999,1.6,8.2
2026-05-05,火,True,157.213,157.178,157.261,-3.5,8.3
2026-05-06,水,False,157.673,157.579,157.639,-9.4,6.0
2026-05-07,木,False,156.521,156.307,156.154,-21.4,-15.3
2026-05-08,金,True,156.844,156.973,156.899,12.9,-7.4
2026-05-11,月,False,156.864,156.973,156.935,10.9,-3.8
2026-05-12,火,False,157.237,157.364,157.545,12.7,18.1
2026-05-13,水,False,157.665,157.756,157.663,9.1,-9.3
2026-05-14,木,False,157.852,157.83,157.881,-2.2,5.1
2026-05-15,金,True,158.381,158.474,158.55,9.3,7.6
2026-05-18,月,False,158.85,158.938,158.942,8.8,0.4
2026-05-19,火,False,158.87,158.995,158.963,12.5,-3.2
2026-05-20,水,True,159.042,158.985,159.073,-5.7,8.8
2026-05-21,木,False,158.888,158.873,158.845,-1.5,-2.8
2026-05-22,金,False,159.025,159.096,159.09,7.1,-0.6
2026-05-25,月,True,158.953,158.864,158.765,-8.9,-9.9
2026-05-26,火,False,158.956,158.978,158.951,2.2,-2.7
2026-05-27,水,False,159.25,159.281,159.241,3.1,-4.0
2026-05-28,木,False,159.57,159.583,159.552,1.3,-3.1
2026-05-29,金,True,159.271,159.295,159.271,2.4,-2.4
2026-06-01,月,False,159.36,159.435,159.485,7.5,5.0
2026-06-02,火,False,159.646,159.712,159.672,6.6,-4.0
2026-06-03,水,False,159.98,159.944,159.876,-3.6,-6.8
2026-06-04,木,False,159.946,159.912,159.893,-3.4,-1.9
2026-06-05,金,True,159.991,159.953,159.954,-3.8,0.1
